From,To,Amount,Denom,Tx,Date
evmos1z8ynrnhdn4l69mu6v6ckjr4wukcacd0e7j0akn,evmos16eyf3lac72z0v4gcdu33d9u6uz0fl66zqztev4,50000,aevmos,2E8A06EE8995E25676E809B8739DBA0FDC6BAFF17C773C6C4C5996D9829AEEA3,2022-05-09T13:33:18
evmos1z8ynrnhdn4l69mu6v6ckjr4wukcacd0e7j0akn,evmos180p05r602v3h6latpatrz9kkf03anea8ygera3,200000,aevmos,632D3FF43C8329DFDA2AA1DADF630AFBA3C90DA0AC0AC441B3BB3382A1E87C93,2022-06-10T22:38:23
evmos1z8ynrnhdn4l69mu6v6ckjr4wukcacd0e7j0akn,evmos1sz4g7mvfunz79h5wxczdj5nk5q3k3460g8dpd7,100000,aevmos,163F82BF3E4B89A07C1D95CE07BDDC43C0BD0EB1787ADB2FBE1A59CE08BED0F6,2022-07-01T00:21:56
evmos1z8ynrnhdn4l69mu6v6ckjr4wukcacd0e7j0akn,evmos1u48k2un865scs53e7juza9gac4shze0dxh46xc,1,aevmos,FC9BB8ABA11C649A68D50E9FAAE8E45BCE3E6F8FB7568390CB2D1A8D1D9DEEE5,2022-08-08T14:54:10
evmos1z8ynrnhdn4l69mu6v6ckjr4wukcacd0e7j0akn,evmos1j3s6079av7lnpcz30fnu2r4t9ja0e8gg9mc67p,1,aevmos,A3EB0CF5CFB34950A3CD27955CC69861552D847179E599A9F19FD23329AFBB55,2022-08-08T15:02:22
evmos1z8ynrnhdn4l69mu6v6ckjr4wukcacd0e7j0akn,evmos1v4v7l6fgammkkmgaslj83anrty8tykgv2sc97j,1,aevmos,7BF031D2BB65C8C0116C8BCE6D56B7D90A4125973422CD0AA792730D6B9E2883,2022-08-08T15:08:39
evmos1z8ynrnhdn4l69mu6v6ckjr4wukcacd0e7j0akn,evmos1j6s7mav3xtfpprezfgpsuh0zl5xg9mxukc9uk6,1,aevmos,E590797D10462D2EE7CE5CC6A782709A3998948FCB7745DA2BCA573339503671,2022-08-08T15:12:09
evmos1z8ynrnhdn4l69mu6v6ckjr4wukcacd0e7j0akn,evmos1xxuxkvkmkuurxfw9up87h43e2g2lglwxxzf874,1,aevmos,E6B6B7F7974778142E0901B74AF3FEBAAC4652DC327FE36C9EBE404948421EB6,2022-08-08T15:12:42
evmos1z8ynrnhdn4l69mu6v6ckjr4wukcacd0e7j0akn,evmos1ktzjzr73ejk2fq30rmdfjwdddx3du0jfd9vcc8,1,aevmos,DE9153AC475688AAB46CCE78F7C124338CC5550E555D740E01A64684BD034033,2022-08-08T15:13:19
evmos1z8ynrnhdn4l69mu6v6ckjr4wukcacd0e7j0akn,evmos18ffyh7dfy0mlf8gg24kvmafsz7z8d34r2jlsep,1,aevmos,6CBC16E793C4B5A21244D6EDE7B5C9E090AF046BF6F33253C7FF14C74AF4CCB8,2022-08-08T15:13:44
evmos1z8ynrnhdn4l69mu6v6ckjr4wukcacd0e7j0akn,evmos1ewdc9ua0wvcxsh4e5w8rww4ztnjpwfk4755vdg,1,aevmos,D95981CE7E598E58AF519DFD6314B4583502AFE132AE9477B4CF2A9DA38D2C4A,2022-08-08T15:14:18
evmos1z8ynrnhdn4l69mu6v6ckjr4wukcacd0e7j0akn,evmos108xglyh3xpja8zuqfshndprn8y6l44cwg7g6gt,1,aevmos,32EC7D3679922129970E8BB65B27324ECF70E18CE638600912A68D7CE0E6296F,2022-08-08T15:14:51
evmos1z8ynrnhdn4l69mu6v6ckjr4wukcacd0e7j0akn,evmos1up60vyjtx4vd49f7z5r3ysjmfe47ld3l0yuaha,1,aevmos,7DC83A23FE9ED8E52E50F216E5B10DFB06FFC069A2E1EFE7128684CBE8DD0033,2022-08-08T15:15:20
evmos1z8ynrnhdn4l69mu6v6ckjr4wukcacd0e7j0akn,evmos1u48k2un865scs53e7juza9gac4shze0dxh46xc,4799999,aevmos,07FDB34B689163A915F8A5ABB358840BD7905AA27359ABA2464DFA56EACFEF5E,2022-08-09T15:00:22
evmos1z8ynrnhdn4l69mu6v6ckjr4wukcacd0e7j0akn,evmos1j3s6079av7lnpcz30fnu2r4t9ja0e8gg9mc67p,3899999,aevmos,B7C5FE5C5076F374B3E7988EB23F123C1E12DC4F7494078FFCE180EF9D72DC5D,2022-08-09T15:01:24
evmos1z8ynrnhdn4l69mu6v6ckjr4wukcacd0e7j0akn,evmos1v4v7l6fgammkkmgaslj83anrty8tykgv2sc97j,2699999,aevmos,517877511655DE25543DA966A6087BCD81F617B9B63B8B0D1C40A6D8E4853FE7,2022-08-09T15:03:12
evmos1z8ynrnhdn4l69mu6v6ckjr4wukcacd0e7j0akn,evmos1j6s7mav3xtfpprezfgpsuh0zl5xg9mxukc9uk6,1949999,aevmos,33393DA2422CE60C71D9BCBB52FE1072EB8AB09CECBBB583642B08989A7AA868,2022-08-09T15:04:57
evmos1z8ynrnhdn4l69mu6v6ckjr4wukcacd0e7j0akn,evmos1xxuxkvkmkuurxfw9up87h43e2g2lglwxxzf874,1649999,aevmos,C43D9B45F3A924974A96374CDFC30432CC08EC24A9F9B8A506D976C57534116D,2022-08-09T15:05:12
